time="2023-01-25T10:08:16+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:7891"
time="2023-01-25T10:08:16+08:00" level=info msg="RESTful API listening at: 127.0.0.1:9090"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider 🔰国外流量"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider ✈️Telegram"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider ⚓️其他流量"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider 🚀直接连接"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider 🎬哔哩哔哩"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider 🍎苹果服务"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider 🎬国外媒体"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider 🎬Netflix"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider 🎬Youtube"
time="2023-01-25T10:08:37+08:00" level=info msg="[TCP] 127.0.0.1:47358 --> img1.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:37+08:00" level=info msg="[TCP] 127.0.0.1:47252 --> t12.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:37+08:00" level=info msg="[TCP] 127.0.0.1:47342 --> img0.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:37+08:00" level=info msg="[TCP] 127.0.0.1:47366 --> t8.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:37+08:00" level=info msg="[TCP] 127.0.0.1:47394 --> bkssl.bdimg.com:443 using GLOBAL"
time="2023-01-25T10:08:37+08:00" level=info msg="[TCP] 127.0.0.1:47408 --> sp1.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:37+08:00" level=info msg="[TCP] 127.0.0.1:47396 --> baikebcs.bdimg.com:443 using GLOBAL"
time="2023-01-25T10:08:37+08:00" level=info msg="[TCP] 127.0.0.1:47430 --> hectorstatic.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:37+08:00" level=info msg="[TCP] 127.0.0.1:47414 --> sp1.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:37+08:00" level=info msg="[TCP] 127.0.0.1:47442 --> ug.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:37+08:00" level=info msg="[TCP] 127.0.0.1:47446 --> ug.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:38+08:00" level=info msg="[TCP] 127.0.0.1:47454 --> cstm.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:47+08:00" level=info msg="[TCP] 127.0.0.1:36936 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:47+08:00" level=info msg="[TCP] 127.0.0.1:36950 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:48+08:00" level=info msg="[TCP] 127.0.0.1:36958 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:48+08:00" level=info msg="[TCP] 127.0.0.1:36968 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:48+08:00" level=info msg="[TCP] 127.0.0.1:36982 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:48+08:00" level=info msg="[TCP] 127.0.0.1:36986 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:48+08:00" level=info msg="[TCP] 127.0.0.1:36990 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:48+08:00" level=info msg="[TCP] 127.0.0.1:37000 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:50+08:00" level=info msg="[TCP] 127.0.0.1:37004 --> t7.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:50+08:00" level=info msg="[TCP] 127.0.0.1:37008 --> t14.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:50+08:00" level=info msg="[TCP] 127.0.0.1:37010 --> t13.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:50+08:00" level=info msg="[TCP] 127.0.0.1:37032 --> t9.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:50+08:00" level=info msg="[TCP] 127.0.0.1:37022 --> t7.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:50+08:00" level=info msg="[TCP] 127.0.0.1:37064 --> hectorstatic.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:50+08:00" level=info msg="[TCP] 127.0.0.1:37048 --> sp1.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:51+08:00" level=info msg="[TCP] 127.0.0.1:37078 --> pcrec.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:52+08:00" level=info msg="[TCP] 127.0.0.1:37084 --> blog.csdn.net:443 using GLOBAL"
time="2023-01-25T10:08:52+08:00" level=info msg="[TCP] 127.0.0.1:37092 --> ocsp.dcocsp.cn:80 using GLOBAL"
time="2023-01-25T10:08:53+08:00" level=info msg="[TCP] 127.0.0.1:37096 --> blog.csdn.net:443 using GLOBAL"
time="2023-01-25T10:08:57+08:00" level=info msg="[TCP] 127.0.0.1:53068 --> s3a.pstatp.com:443 using GLOBAL"
time="2023-01-25T10:08:57+08:00" level=info msg="[TCP] 127.0.0.1:53052 --> g.csdnimg.cn:443 using GLOBAL"
